,MONO,EMONO,IGM
2015,1.0277756286266924,1.0266344294003868,9.975
2016,1.026429980276134,1.0275147928994084,9.73913043478261
2017,1.0244280442804428,1.0259040590405903,7.427184466019417
2018,1.0190374331550802,1.0213368983957218,4.226586102719033
2019,1.0193071593533487,1.0237644341801386,4.582857142857144
2020,1.016842105263158,1.019561403508772,3.297872340425532
2021,1.014390243902439,1.0214024390243903,2.98876404494382
2022,1.0,0.0,1.0
2025,1.0121739130434784,1.0182608695652173,2.354838709677419
2030,1.015,1.02125,2.8620689655172415
2050,1.0066666666666666,1.02,1.5
2071,1.02,0.0,4.0
20th,0.0,0.0,11.5
21st,1.0254545454545454,1.0272727272727273,5.666666666666667
2500,1.0222222222222221,1.0266666666666666,4.333333333333334
3000,1.0184615384615385,1.0253846153846153,3.769230769230769
30000,1.0333333333333334,1.0283333333333333,12.25
5000,1.0184615384615385,1.023076923076923,3.4000000000000004
60000,1.0266666666666666,1.0285714285714285,8.0
8000,1.0133333333333334,1.02,2.3846153846153846
9003,0.0,0.0,10.0
9482,0.0,0.0,10.0
abil,1.0172121212121212,1.0198181818181817,3.393258426966292
abl,1.0127941176470587,1.0173161764705883,2.4914285714285715
abnorm,1.0333333333333334,0.0,13.857142857142858
abovement,1.0171428571428571,1.0257142857142858,3.0
abroad,1.0066666666666666,1.025,1.6
absenc,1.0176,1.024,3.8695652173913047
absent,0.0,0.0,17.5
absolut,1.02,1.024,3.727272727272727
abstract,1.0234482758620689,1.0227586206896553,4.923076923076923
abund,1.0184615384615385,1.023076923076923,3.769230769230769
abus,1.02,1.02625,3.6666666666666665
academ,1.0205633802816902,1.0221830985915492,4.421875
academi,0.0,0.0,20.5
acceler,1.021,1.02475,4.9375
accept,1.0253333333333334,1.02225,5.956521739130435
access,1.016190476190476,1.0208441558441559,3.3134020618556703
accessori,1.016,1.022,3.0
accid,1.0339130434782609,0.0,27.0
accommod,1.026865671641791,1.0255223880597015,7.75
accompani,1.0152380952380953,1.02,2.7777777777777777
accomplish,1.013877551020408,1.0208163265306123,2.8545454545454545
accord,1.018788522848034,1.02394261424017,4.598371777476255
accordingli,1.0133333333333334,1.0177777777777777,2.4210526315789473
account,1.0327113062568607,1.0272338090010977,16.20408163265306
accredit,0.0,0.0,14.5
accumul,1.0129411764705882,1.018529411764706,2.4347826086956523
accur,1.0241095890410958,1.0265068493150684,7.518518518518518
accuraci,1.0376699029126213,1.0295631067961164,62.26315789473685
achiev,1.0206940063091483,1.021955835962145,4.477031802120141
acid,1.0213333333333334,1.028,5.0
acknowledg,1.016,1.0225,3.0869565217391304
aclc,1.0252631578947369,1.0258947368421052,8.236180904522612
acquir,1.0157446808510637,1.0191489361702128,3.0366972477064222
acquisit,1.0166666666666666,1.0205,3.307692307692308
across,1.016258064516129,1.0224516129032257,3.571428571428571
act,1.0152380952380953,1.0214285714285714,3.0869565217391304
action,1.0216585365853659,1.022829268292683,4.894736842105264
activ,1.0171428571428571,1.019776247848537,3.4174757281553396
actor,1.0218181818181817,1.0245454545454546,4.2727272727272725
actual,1.0201709401709402,1.023076923076923,4.806451612903226
actuat,1.02,0.0,5.0
acut,1.02,1.025,4.0
ad,1.0233513513513515,1.0223783783783784,5.408163265306123
adamson,0.0,0.0,10.0
adapt,1.0220930232558139,1.0244186046511627,5.871794871794872
add,1.0218181818181817,1.0245454545454546,4.2727272727272725
addit,1.0153995157384987,1.0212106537530266,3.1731207289293852
address,1.0142857142857142,1.0206722689075631,2.9391634980988592
ade,0.0,0.0,13.0
adequ,1.0183783783783784,1.0227027027027027,3.756756756756757
adher,1.0233333333333334,1.0275,5.199999999999999
adhoc,1.018181818181818,1.0245454545454546,3.5
adjac,1.0145454545454546,1.0204545454545455,2.7777777777777777
adjust,1.0211764705882354,1.0238235294117648,5.0
admin,0.0,0.0,11.5
administ,1.0123076923076924,1.0184615384615385,2.2
administr,1.0263080684596577,1.026479217603912,8.722488038277511
admiss,1.0356756756756758,1.0291891891891891,23.0
admit,1.0218181818181817,1.0245454545454546,4.2727272727272725
adolesc,1.022857142857143,1.0214285714285714,3.4000000000000004
adopt,1.016190476190476,1.0197142857142858,3.2666666666666666
adult,1.0258823529411765,1.0247058823529411,7.0
advanc,1.0201639344262294,1.0221311475409836,4.565217391304348
advantag,1.0163440860215054,1.0225806451612902,3.590909090909091
