,Capstone,Thesis,Case Study,Feasibility Study,Total
63441,0.0,1.0,0.0,0.0,1.0
64207111the,0.0,0.0,0.0,2.0,2.0
65883,0.0,1.0,0.0,0.0,1.0
67910,0.0,1.0,0.0,0.0,1.0
6800,0.0,0.0,0.0,2.0,2.0
69120,0.0,0.0,0.0,2.0,2.0
691900,0.0,0.0,0.0,2.0,2.0
6956,0.0,1.0,0.0,0.0,1.0
69830,0.0,1.0,0.0,0.0,1.0
6993000,0.0,0.0,0.0,4.0,4.0
6axi,0.0,1.0,0.0,0.0,1.0
6digit,0.0,3.0,0.0,0.0,3.0
70000,0.0,1.0,0.0,0.0,1.0
7013,0.0,0.0,1.0,0.0,1.0
7014,0.0,1.0,0.0,0.0,1.0
7090,0.0,1.0,0.0,0.0,1.0
70sqm,0.0,0.0,0.0,2.0,2.0
7142,0.0,1.0,0.0,0.0,1.0
7175,0.0,1.0,0.0,0.0,1.0
7200000,0.0,0.0,0.0,2.0,2.0
720x1280,1.0,0.0,0.0,0.0,1.0
7219,0.0,0.0,0.0,2.0,2.0
7289,0.0,1.0,0.0,0.0,1.0
7340,0.0,1.0,0.0,0.0,1.0
735988,0.0,1.0,0.0,0.0,1.0
7430,0.0,0.0,1.0,0.0,1.0
7515,0.0,1.0,0.0,0.0,1.0
7516,0.0,0.0,0.0,2.0,2.0
7662,0.0,0.0,0.0,2.0,2.0
778948,0.0,1.0,0.0,0.0,1.0
7809,0.0,0.0,0.0,2.0,2.0
7863,3.0,0.0,0.0,0.0,3.0
7970,0.0,0.0,1.0,0.0,1.0
7point,0.0,0.0,0.0,2.0,2.0
8000,0.0,0.0,0.0,2.0,2.0
80000000,0.0,0.0,0.0,4.0,4.0
8020,0.0,1.0,0.0,0.0,1.0
8062,0.0,1.0,0.0,0.0,1.0
8182,0.0,1.0,0.0,0.0,1.0
8221,0.0,1.0,0.0,0.0,1.0
8261,0.0,0.0,0.0,2.0,2.0
8434,1.0,0.0,0.0,0.0,1.0
84400000,0.0,0.0,0.0,2.0,2.0
8448,0.0,1.0,0.0,0.0,1.0
8528,0.0,1.0,0.0,0.0,1.0
8586,1.0,0.0,0.0,0.0,1.0
8600,0.0,0.0,3.0,0.0,3.0
8720,0.0,1.0,0.0,0.0,1.0
8761,0.0,0.0,0.0,2.0,2.0
88271000,0.0,0.0,0.0,2.0,2.0
88688963,0.0,1.0,0.0,0.0,1.0
8875,0.0,1.0,0.0,0.0,1.0
9016,0.0,1.0,0.0,0.0,1.0
9051,0.0,1.0,0.0,0.0,1.0
9063,0.0,1.0,0.0,4.0,5.0
9102,0.0,1.0,0.0,0.0,1.0
91261,9.0,0.0,0.0,0.0,9.0
9160,0.0,0.0,0.0,2.0,2.0
9209,0.0,1.0,0.0,0.0,1.0
9266,0.0,1.0,0.0,0.0,1.0
9348,0.0,1.0,0.0,0.0,1.0
9358,0.0,1.0,0.0,0.0,1.0
9364,0.0,1.0,0.0,0.0,1.0
9395,0.0,1.0,0.0,0.0,1.0
9482,0.0,1.0,0.0,0.0,1.0
9483,0.0,1.0,0.0,0.0,1.0
9514,1.0,0.0,0.0,0.0,1.0
9559,0.0,1.0,0.0,0.0,1.0
9565,0.0,1.0,0.0,0.0,1.0
9688,0.0,1.0,0.0,0.0,1.0
9723,0.0,1.0,0.0,0.0,1.0
9734,0.0,1.0,0.0,0.0,1.0
9759,1.0,0.0,0.0,0.0,1.0
9820,0.0,1.0,0.0,0.0,1.0
98215,0.0,1.0,0.0,0.0,1.0
9832,0.0,1.0,0.0,0.0,1.0
9834,0.0,1.0,0.0,0.0,1.0
9859,0.0,1.0,0.0,0.0,1.0
98600,0.0,0.0,0.0,2.0,2.0
9876,0.0,1.0,0.0,0.0,1.0
9878,0.0,1.0,0.0,0.0,1.0
9887,0.0,1.0,0.0,0.0,1.0
989742,0.0,0.0,1.0,0.0,1.0
9917,0.0,1.0,0.0,0.0,1.0
9920,0.0,1.0,0.0,0.0,1.0
9921,0.0,1.0,0.0,0.0,1.0
9970,0.0,1.0,0.0,0.0,1.0
9999,0.0,2.0,0.0,0.0,2.0
999974,0.0,1.0,0.0,0.0,1.0
999jc,0.0,0.0,0.0,2.0,2.0
9mobil,0.0,0.0,3.0,0.0,3.0
aaey,0.0,0.0,1.0,0.0,1.0
aaine,0.0,0.0,0.0,2.0,2.0
aanneg,1.0,0.0,0.0,0.0,1.0
aar,1.0,0.0,0.0,0.0,1.0
aartifici,0.0,1.0,0.0,0.0,1.0
abaca,0.0,0.0,0.0,8.0,8.0
abdc,0.0,0.0,1.0,0.0,1.0
abid,2.0,0.0,0.0,0.0,2.0
abil,11.0,22.0,5.0,8.0,46.0
abilan,0.0,0.0,0.0,2.0,2.0
abject,1.0,0.0,0.0,0.0,1.0
abl,63.0,25.0,19.0,26.0,133.0
abmzp,0.0,3.0,0.0,0.0,3.0
abnorm,2.0,7.0,0.0,0.0,9.0
aboul,0.0,0.0,0.0,2.0,2.0
abovecit,0.0,0.0,0.0,2.0,2.0
abovement,0.0,0.0,1.0,0.0,1.0
absenc,3.0,1.0,0.0,0.0,4.0
absolut,0.0,3.0,1.0,0.0,4.0
absorb,0.0,0.0,0.0,2.0,2.0
absorpt,0.0,2.0,0.0,0.0,2.0
abstract,203.0,53.0,105.0,62.0,423.0
abstract—,0.0,1.0,0.0,0.0,1.0
abstract—3d,0.0,1.0,0.0,0.0,1.0
abstract—a,0.0,7.0,0.0,0.0,7.0
abstract—access,0.0,1.0,0.0,0.0,1.0
abstract—advanc,0.0,1.0,0.0,0.0,1.0
abstract—along,0.0,1.0,0.0,0.0,1.0
abstract—an,0.0,3.0,0.0,0.0,3.0
abstract—analysi,0.0,1.0,0.0,0.0,1.0
abstract—artifici,0.0,1.0,0.0,0.0,1.0
abstract—at,0.0,2.0,0.0,0.0,2.0
abstract—authent,0.0,1.0,0.0,0.0,1.0
abstract—automobil,0.0,1.0,0.0,0.0,1.0
abstract—blockchain,0.0,2.0,0.0,0.0,2.0
abstract—brain,0.0,2.0,0.0,0.0,2.0
abstract—braincomput,0.0,1.0,0.0,0.0,1.0
abstract—cel,0.0,1.0,0.0,0.0,1.0
abstract—cloud,0.0,2.0,0.0,0.0,2.0
abstract—cognit,0.0,1.0,0.0,0.0,1.0
abstract—collabor,0.0,1.0,0.0,0.0,1.0
abstract—compani,0.0,1.0,0.0,0.0,1.0
abstract—compil,0.0,1.0,0.0,0.0,1.0
abstract—comprehens,0.0,1.0,0.0,0.0,1.0
abstract—comput,0.0,2.0,0.0,0.0,2.0
abstract—conceptu,0.0,1.0,0.0,0.0,1.0
abstract—confirm,0.0,1.0,0.0,0.0,1.0
abstract—convolut,0.0,2.0,0.0,0.0,2.0
abstract—covid19,0.0,1.0,0.0,0.0,1.0
abstract—crop,0.0,1.0,0.0,0.0,1.0
abstract—curr,0.0,2.0,0.0,0.0,2.0
abstract—cyberbulli,0.0,1.0,0.0,0.0,1.0
abstract—data,0.0,1.0,0.0,0.0,1.0
abstract—deep,0.0,3.0,0.0,0.0,3.0
abstract—digit,0.0,1.0,0.0,0.0,1.0
abstract—du,0.0,1.0,0.0,0.0,1.0
abstract—dyscalculia,0.0,1.0,0.0,0.0,1.0
abstract—educ,0.0,1.0,0.0,0.0,1.0
abstract—elearn,0.0,1.0,0.0,0.0,1.0
abstract—electr,0.0,1.0,0.0,0.0,1.0
abstract—emerg,0.0,1.0,0.0,0.0,1.0
abstract—emot,0.0,2.0,0.0,0.0,2.0
abstract—energi,0.0,1.0,0.0,0.0,1.0
abstract—ent,0.0,1.0,0.0,0.0,1.0
abstract—epilepsi,0.0,1.0,0.0,0.0,1.0
abstract—evacu,0.0,1.0,0.0,0.0,1.0
abstract—evolutionari,0.0,1.0,0.0,0.0,1.0
abstract—flow,0.0,1.0,0.0,0.0,1.0
abstract—fog,0.0,1.0,0.0,0.0,1.0
abstract—for,0.0,1.0,0.0,0.0,1.0
abstract—fost,0.0,1.0,0.0,0.0,1.0
abstract—gain,0.0,1.0,0.0,0.0,1.0
abstract—gener,0.0,1.0,0.0,0.0,1.0
abstract—geometr,0.0,1.0,0.0,0.0,1.0
abstract—hadith,0.0,1.0,0.0,0.0,1.0
abstract—himawari8,0.0,1.0,0.0,0.0,1.0
abstract—hous,0.0,2.0,0.0,0.0,2.0
abstract—human,0.0,1.0,0.0,0.0,1.0
abstract—ident,0.0,1.0,0.0,0.0,1.0
abstract—imag,0.0,1.0,0.0,0.0,1.0
abstract—impl,0.0,1.0,0.0,0.0,1.0
abstract—in,0.0,20.0,0.0,0.0,20.0
abstract—increas,0.0,1.0,0.0,0.0,1.0
abstract—individu,0.0,1.0,0.0,0.0,1.0
abstract—industri,0.0,1.0,0.0,0.0,1.0
abstract—internet,0.0,1.0,0.0,0.0,1.0
abstract—ir,0.0,1.0,0.0,0.0,1.0
abstract—liquefi,0.0,1.0,0.0,0.0,1.0
abstract—machin,0.0,1.0,0.0,0.0,1.0
abstract—mainten,0.0,1.0,0.0,0.0,1.0
abstract—mani,0.0,1.0,0.0,0.0,1.0
abstract—med,0.0,1.0,0.0,0.0,1.0
abstract—method,0.0,1.0,0.0,0.0,1.0
abstract—mobil,0.0,3.0,0.0,0.0,3.0
abstract—modern,0.0,1.0,0.0,0.0,1.0
abstract—most,0.0,2.0,0.0,0.0,2.0
abstract—multimedia,0.0,1.0,0.0,0.0,1.0
abstract—natur,0.0,1.0,0.0,0.0,1.0
abstract—new,0.0,1.0,0.0,0.0,1.0
abstract—nondomin,0.0,1.0,0.0,0.0,1.0
abstract—nowaday,0.0,3.0,0.0,0.0,3.0
abstract—object,0.0,3.0,0.0,0.0,3.0
abstract—on,0.0,2.0,0.0,0.0,2.0
abstract—ontolog,0.0,1.0,0.0,0.0,1.0
abstract—organ,0.0,1.0,0.0,0.0,1.0
abstract—ov,0.0,2.0,0.0,0.0,2.0
abstract—paddi,0.0,1.0,0.0,0.0,1.0
abstract—pl,0.0,1.0,0.0,0.0,1.0
abstract—pneumonia,0.0,1.0,0.0,0.0,1.0
abstract—polymorph,0.0,1.0,0.0,0.0,1.0
abstract—popul,0.0,1.0,0.0,0.0,1.0
abstract—precis,0.0,1.0,0.0,0.0,1.0
abstract—predict,0.0,1.0,0.0,0.0,1.0
abstract—rapid,0.0,2.0,0.0,0.0,2.0
abstract—read,0.0,1.0,0.0,0.0,1.0
abstract—rec,0.0,1.0,0.0,0.0,1.0
abstract—remot,0.0,1.0,0.0,0.0,1.0
abstract—research,0.0,1.0,0.0,0.0,1.0
abstract—reus,0.0,1.0,0.0,0.0,1.0
abstract—revers,0.0,1.0,0.0,0.0,1.0
abstract—scientif,0.0,1.0,0.0,0.0,1.0
abstract—senti,0.0,2.0,0.0,0.0,2.0
abstract—serversid,0.0,1.0,0.0,0.0,1.0
abstract—sinc,0.0,1.0,0.0,0.0,1.0
abstract—slop,0.0,1.0,0.0,0.0,1.0
abstract—soci,0.0,4.0,0.0,0.0,4.0
abstract—spam,0.0,1.0,0.0,0.0,1.0
abstract—strok,0.0,1.0,0.0,0.0,1.0
abstract—stud,0.0,1.0,0.0,0.0,1.0
abstract—surveil,0.0,1.0,0.0,0.0,1.0
abstract—sustain,0.0,1.0,0.0,0.0,1.0
abstract—swarm,0.0,1.0,0.0,0.0,1.0
abstract—synthes,0.0,1.0,0.0,0.0,1.0
abstract—th,0.0,55.0,0.0,0.0,55.0
abstract—ther,0.0,1.0,0.0,0.0,1.0
abstract—thi,0.0,16.0,0.0,0.0,16.0
abstract—through,0.0,1.0,0.0,0.0,1.0
abstract—to,0.0,1.0,0.0,0.0,1.0
abstract—tour,0.0,1.0,0.0,0.0,1.0
abstract—traff,0.0,1.0,0.0,0.0,1.0
abstract—unlik,0.0,1.0,0.0,0.0,1.0
abstract—us,0.0,2.0,0.0,0.0,2.0
abstract—uterin,0.0,1.0,0.0,0.0,1.0
abstract—virtu,0.0,1.0,0.0,0.0,1.0
abstract—weath,0.0,1.0,0.0,0.0,1.0
abstract—wireless,0.0,1.0,0.0,0.0,1.0
abstract—with,0.0,9.0,0.0,0.0,9.0
abtract,1.0,0.0,0.0,0.0,1.0
abund,3.0,0.0,1.0,2.0,6.0
acacia,0.0,0.0,0.0,2.0,2.0
academ,3.0,41.0,7.0,4.0,55.0
academi,5.0,1.0,0.0,0.0,6.0
academia,0.0,1.0,3.0,2.0,6.0
academician,0.0,1.0,6.0,0.0,7.0
acceler,6.0,7.0,0.0,0.0,13.0
accelerationbas,0.0,1.0,0.0,0.0,1.0
acceleromet,3.0,0.0,0.0,0.0,3.0
accentur,0.0,0.0,0.0,2.0,2.0
accept,103.0,11.0,22.0,14.0,150.0
acceptor,10.0,0.0,0.0,0.0,10.0
access,108.0,48.0,10.0,42.0,208.0
accessibil,0.0,1.0,0.0,0.0,1.0
accessori,0.0,0.0,0.0,6.0,6.0
accid,26.0,5.0,0.0,0.0,31.0
accommod,5.0,1.0,1.0,0.0,7.0
accompani,0.0,0.0,1.0,0.0,1.0
accomplish,5.0,2.0,4.0,6.0,17.0
accord,36.0,22.0,23.0,14.0,95.0
accordingli,9.0,4.0,6.0,4.0,23.0
accouni,0.0,0.0,1.0,0.0,1.0
account,12.0,5.0,90.0,28.0,135.0
accounti,0.0,0.0,0.0,2.0,2.0
accru,0.0,1.0,0.0,0.0,1.0
accumul,8.0,3.0,1.0,0.0,12.0
accur,20.0,23.0,5.0,4.0,52.0
accuraci,14.0,168.0,4.0,0.0,186.0
accustom,0.0,1.0,0.0,8.0,9.0
achiev,17.0,84.0,16.0,14.0,131.0
acid,0.0,0.0,0.0,2.0,2.0
acknowledg,0.0,1.0,4.0,4.0,9.0
acl,0.0,1.0,0.0,0.0,1.0
aclc,49.0,3.0,35.0,30.0,117.0
acon,1.0,0.0,0.0,0.0,1.0
acoust,0.0,2.0,0.0,0.0,2.0
acoustix,0.0,0.0,8.0,0.0,8.0
acquaint,0.0,0.0,1.0,0.0,1.0
acquir,10.0,6.0,4.0,12.0,32.0
acquisit,0.0,11.0,2.0,4.0,17.0
acronym,0.0,1.0,0.0,2.0,3.0
across,1.0,14.0,18.0,0.0,33.0
act,4.0,1.0,0.0,4.0,9.0
action,2.0,12.0,19.0,0.0,33.0
actionplatform,1.0,0.0,0.0,0.0,1.0
activ,60.0,78.0,35.0,36.0,209.0
activitio,1.0,0.0,0.0,0.0,1.0
actor,0.0,2.0,0.0,4.0,6.0
actual,15.0,11.0,8.0,10.0,44.0
actuat,0.0,1.0,0.0,0.0,1.0
